epoch,tr_loss,vl_loss,dice,fpr,prec,rec
1,1.1716,1.1274,0.1412,0.0528,0.1850,0.1568
2,1.1263,1.1063,0.1340,0.0416,0.2152,0.1331
3,1.1124,1.0964,0.1505,0.0526,0.2133,0.1721
4,1.1042,1.0912,0.1593,0.0604,0.2142,0.1988
5,1.0977,1.0816,0.1737,0.0657,0.2214,0.2428
6,1.0906,1.0795,0.1751,0.0730,0.2141,0.2755
7,1.0841,1.0811,0.1997,0.0996,0.2162,0.3633
8,1.0777,1.0747,0.1898,0.0971,0.2112,0.3332
9,1.0707,1.0650,0.2012,0.1210,0.1798,0.4111
10,1.0646,1.0691,0.2076,0.1399,0.1761,0.4664
11,1.0584,1.1017,0.2045,0.1433,0.1728,0.4676
12,1.0540,1.0518,0.2042,0.1249,0.1806,0.4272
13,1.0474,1.0441,0.2024,0.1198,0.1814,0.4120
14,1.0403,1.0384,0.2007,0.1137,0.1809,0.4010
15,1.0337,1.0308,0.2061,0.1157,0.1815,0.4175
16,1.0291,1.0305,0.2067,0.1220,0.1789,0.4362
17,1.0221,1.0186,0.2131,0.1096,0.1846,0.4276
18,1.0154,1.0177,0.2175,0.1078,0.1867,0.4334
19,1.0101,1.0045,0.2176,0.0974,0.1940,0.4131
20,1.0030,1.0112,0.2197,0.1046,0.1910,0.4351
21,0.9944,1.0039,0.2212,0.1013,0.1929,0.4284
22,0.9848,1.0028,0.2252,0.1092,0.1904,0.4641
23,0.9765,1.0079,0.2276,0.1225,0.2165,0.5048
24,0.9700,1.0006,0.2435,0.1325,0.2326,0.5428
25,0.9621,0.9930,0.2491,0.1265,0.2131,0.5366
26,0.9534,0.9990,0.2384,0.1152,0.2129,0.4706
27,0.9466,0.9678,0.2531,0.0977,0.2338,0.4902
28,0.9395,0.9654,0.2530,0.0914,0.2372,0.4759
29,0.9268,0.9666,0.2505,0.0887,0.2345,0.4689
30,0.9193,0.9638,0.2466,0.0825,0.2377,0.4403
31,0.9118,0.9599,0.2570,0.0873,0.2647,0.4674
32,0.9019,0.9483,0.2669,0.0821,0.2721,0.4742
33,0.8904,0.9578,0.2570,0.0801,0.2440,0.4589
34,0.8790,0.9589,0.2602,0.0838,0.2427,0.4688
35,0.8718,0.9554,0.2641,0.0868,0.2446,0.4871
36,0.8628,0.9521,0.2697,0.0816,0.2775,0.4823
37,0.8517,0.9609,0.2700,0.0850,0.2709,0.4780
38,0.8579,0.9633,0.2589,0.0819,0.2473,0.4658
39,0.8329,0.9373,0.2666,0.0731,0.2618,0.4550
40,0.8163,0.9293,0.2729,0.0691,0.2979,0.4579
41,0.8071,0.9239,0.2869,0.0668,0.3215,0.4681
42,0.8009,0.9212,0.3133,0.0651,0.3343,0.4872
43,0.7963,0.9175,0.3245,0.0627,0.3406,0.4916
44,0.7922,0.9146,0.3281,0.0607,0.3350,0.4930
45,0.7883,0.9128,0.3329,0.0592,0.3368,0.4968
46,0.7842,0.9119,0.3352,0.0586,0.3378,0.4986
47,0.7800,0.9116,0.3351,0.0582,0.3360,0.4985
48,0.7762,0.9120,0.3356,0.0577,0.3621,0.4969
49,0.7731,0.9114,0.3352,0.0569,0.3631,0.4936
50,0.7682,0.9135,0.3338,0.0561,0.3897,0.4868
51,0.7646,0.9139,0.3350,0.0559,0.3895,0.4878
52,0.7601,0.9172,0.3367,0.0561,0.3893,0.4888
53,0.7555,0.9169,0.3373,0.0565,0.3883,0.4918
54,0.7500,0.9170,0.3408,0.0560,0.3915,0.4915
55,0.7455,0.9155,0.3434,0.0563,0.3930,0.4947
56,0.7373,0.9151,0.3426,0.0553,0.3956,0.4919
57,0.7357,0.9158,0.3419,0.0551,0.3955,0.4918
58,0.7346,0.9161,0.3419,0.0551,0.3959,0.4917
59,0.7337,0.9162,0.3423,0.0553,0.3962,0.4925
60,0.7330,0.9164,0.3424,0.0554,0.3962,0.4932
61,0.7322,0.9165,0.3426,0.0556,0.3965,0.4938
62,0.7313,0.9166,0.3421,0.0554,0.3972,0.4929
63,0.7312,0.9166,0.3422,0.0554,0.3973,0.4929
64,0.7311,0.9166,0.3421,0.0553,0.3972,0.4929
65,0.7310,0.9166,0.3421,0.0553,0.3973,0.4929
66,0.7310,0.9167,0.3421,0.0553,0.3973,0.4928
67,0.7309,0.9167,0.3421,0.0554,0.3973,0.4929
68,0.7308,0.9167,0.3421,0.0553,0.3974,0.4928
69,0.7308,0.9167,0.3421,0.0553,0.3973,0.4928
70,0.7308,0.9167,0.3421,0.0553,0.3973,0.4928
71,0.7308,0.9167,0.3420,0.0553,0.3973,0.4928
72,0.7308,0.9167,0.3420,0.0553,0.3973,0.4928
73,0.7308,0.9167,0.3420,0.0553,0.3974,0.4928
74,0.7308,0.9167,0.3420,0.0553,0.3974,0.4928
75,0.7308,0.9167,0.3420,0.0553,0.3973,0.4928
76,0.7308,0.9167,0.3421,0.0553,0.3974,0.4929
77,0.7308,0.9167,0.3421,0.0553,0.3974,0.4929
78,0.7307,0.9167,0.3420,0.0553,0.3974,0.4928
79,0.7307,0.9167,0.3420,0.0553,0.3974,0.4928
80,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
81,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
82,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
83,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
84,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
85,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
86,0.7307,0.9167,0.3421,0.0553,0.3974,0.4929
87,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
88,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
89,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
90,0.7307,0.9167,0.3421,0.0553,0.3974,0.4929
91,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
92,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
93,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
94,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
95,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
96,0.7307,0.9167,0.3420,0.0553,0.3974,0.4929
97,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
98,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
99,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
100,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
101,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
102,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
103,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
104,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
105,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
