epoch,tr_loss,vl_loss,dice,fpr,prec,rec
1,1.2002,1.1806,0.1848,0.0989,0.1959,0.2952
2,1.1700,1.1903,0.1282,0.0811,0.1566,0.1818
3,1.1545,1.1518,0.1211,0.0362,0.2312,0.1282
4,1.1522,1.1492,0.1277,0.0409,0.2278,0.1393
5,1.1438,1.1412,0.1633,0.0520,0.2441,0.2035
6,1.1368,1.1367,0.2004,0.0851,0.2372,0.3179
7,1.1276,1.1317,0.1957,0.0808,0.2492,0.2965
8,1.1184,1.1227,0.1971,0.0868,0.2418,0.3154
9,1.1089,1.1198,0.2041,0.0920,0.2414,0.3477
10,1.0990,1.1052,0.1749,0.0665,0.2573,0.2741
11,1.0890,1.1004,0.1496,0.0589,0.2577,0.2456
12,1.0796,1.0915,0.1581,0.0632,0.2894,0.2682
13,1.0684,1.0856,0.1488,0.0608,0.2676,0.2572
14,1.0581,1.0843,0.1458,0.0531,0.2594,0.2250
15,1.0502,1.0673,0.1366,0.0461,0.2583,0.2090
16,1.0384,1.0587,0.1169,0.0381,0.2218,0.1746
17,1.0284,1.0547,0.1171,0.0363,0.1808,0.1775
18,1.0226,1.0498,0.1242,0.0415,0.1896,0.1964
19,1.0123,1.0439,0.1232,0.0411,0.1887,0.1922
20,1.0026,1.0405,0.1301,0.0444,0.2206,0.2075
21,0.9954,1.0368,0.1347,0.0440,0.1873,0.2141
22,0.9849,1.0226,0.1417,0.0427,0.1975,0.2205
23,0.9724,1.0192,0.1550,0.0423,0.3036,0.2323
24,0.9568,1.0056,0.1733,0.0422,0.3275,0.2484
25,0.9474,1.0023,0.1909,0.0460,0.2908,0.2692
26,0.9309,1.0031,0.2056,0.0497,0.2812,0.2888
27,0.9217,0.9936,0.2521,0.0567,0.2967,0.3465
28,0.9102,0.9999,0.2622,0.0673,0.3030,0.3951
29,0.9030,0.9912,0.2613,0.0649,0.2877,0.3807
30,0.8917,1.0070,0.2699,0.0741,0.2935,0.4026
31,0.8804,0.9940,0.2663,0.0625,0.2989,0.3547
32,0.8721,0.9909,0.2774,0.0726,0.3096,0.4118
33,0.8570,0.9877,0.2917,0.0773,0.3182,0.4212
34,0.8418,0.9893,0.2958,0.0854,0.2844,0.4688
35,0.8315,0.9852,0.2889,0.0883,0.2775,0.4621
36,0.8183,1.0033,0.2908,0.0950,0.2769,0.4711
37,0.8061,1.0081,0.2911,0.1024,0.2705,0.4801
38,0.7956,1.0142,0.2936,0.0950,0.2751,0.4772
39,0.7891,1.0095,0.2925,0.0951,0.2822,0.4652
40,0.7777,1.0053,0.3004,0.0913,0.2882,0.4764
41,0.7663,0.9986,0.3056,0.0896,0.3153,0.4547
42,0.7397,0.9817,0.2883,0.0836,0.3265,0.4356
43,0.7203,0.9810,0.2849,0.0822,0.3040,0.4372
44,0.7083,0.9835,0.2854,0.0836,0.3288,0.4475
45,0.7017,0.9844,0.2866,0.0831,0.3031,0.4500
46,0.6956,0.9877,0.2869,0.0831,0.3269,0.4521
47,0.6896,0.9884,0.2849,0.0829,0.3028,0.4504
48,0.6831,0.9901,0.2835,0.0846,0.2983,0.4523
49,0.6764,0.9908,0.2798,0.0846,0.2945,0.4496
50,0.6674,0.9948,0.2802,0.0881,0.2919,0.4563
51,0.6666,0.9954,0.2801,0.0883,0.2912,0.4567
52,0.6658,0.9957,0.2800,0.0884,0.2906,0.4568
53,0.6651,0.9961,0.2797,0.0886,0.2899,0.4567
54,0.6644,0.9962,0.2793,0.0887,0.2885,0.4571
55,0.6639,0.9965,0.2788,0.0887,0.2878,0.4570
56,0.6631,0.9968,0.2786,0.0888,0.2876,0.4569
57,0.6630,0.9968,0.2786,0.0889,0.2875,0.4568
58,0.6630,0.9969,0.2786,0.0889,0.2874,0.4569
59,0.6629,0.9970,0.2785,0.0889,0.2873,0.4568
60,0.6628,0.9970,0.2784,0.0889,0.2872,0.4568
61,0.6628,0.9971,0.2784,0.0889,0.2870,0.4568
62,0.6627,0.9971,0.2784,0.0889,0.2871,0.4568
63,0.6627,0.9971,0.2783,0.0889,0.2870,0.4568
64,0.6627,0.9971,0.2783,0.0889,0.2870,0.4568
65,0.6627,0.9971,0.2783,0.0889,0.2870,0.4568
66,0.6627,0.9971,0.2783,0.0889,0.2870,0.4568
67,0.6627,0.9971,0.2784,0.0889,0.2870,0.4568
68,0.6627,0.9971,0.2783,0.0889,0.2870,0.4568
69,0.6627,0.9971,0.2786,0.0889,0.2871,0.4570
70,0.6627,0.9971,0.2786,0.0889,0.2870,0.4570
71,0.6627,0.9971,0.2785,0.0889,0.2870,0.4570
72,0.6627,0.9971,0.2785,0.0889,0.2870,0.4570
73,0.6627,0.9971,0.2785,0.0889,0.2870,0.4570
74,0.6627,0.9971,0.2786,0.0889,0.2871,0.4570
75,0.6627,0.9971,0.2786,0.0889,0.2871,0.4570
76,0.6627,0.9971,0.2786,0.0889,0.2871,0.4570
77,0.6627,0.9971,0.2785,0.0889,0.2870,0.4569
78,0.6627,0.9971,0.2785,0.0889,0.2870,0.4569
79,0.6627,0.9971,0.2785,0.0889,0.2870,0.4569
80,0.6627,0.9971,0.2785,0.0889,0.2870,0.4569
81,0.6627,0.9971,0.2785,0.0889,0.2870,0.4568
82,0.6627,0.9970,0.2785,0.0889,0.2870,0.4568
83,0.6627,0.9971,0.2784,0.0889,0.2869,0.4567
84,0.6627,0.9971,0.2784,0.0889,0.2869,0.4567
85,0.6627,0.9971,0.2784,0.0889,0.2869,0.4567
86,0.6626,0.9971,0.2783,0.0889,0.2869,0.4567
87,0.6626,0.9971,0.2784,0.0889,0.2869,0.4567
88,0.6626,0.9971,0.2783,0.0889,0.2869,0.4566
89,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
90,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
91,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
92,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
93,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
94,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
95,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
96,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
97,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
98,0.6626,0.9971,0.2783,0.0889,0.2868,0.4566
99,0.6626,0.9971,0.2783,0.0889,0.2867,0.4566
100,0.6626,0.9971,0.2782,0.0889,0.2867,0.4565
101,0.6626,0.9971,0.2782,0.0889,0.2867,0.4565
102,0.6626,0.9971,0.2782,0.0889,0.2868,0.4565
103,0.6626,0.9971,0.2782,0.0889,0.2868,0.4565
104,0.6626,0.9971,0.2782,0.0889,0.2867,0.4565
105,0.6626,0.9971,0.2782,0.0889,0.2867,0.4565
106,0.6625,0.9971,0.2782,0.0889,0.2867,0.4565
107,0.6625,0.9972,0.2782,0.0889,0.2866,0.4565
108,0.6625,0.9972,0.2781,0.0889,0.2866,0.4565
109,0.6625,0.9972,0.2781,0.0889,0.2866,0.4565
110,0.6625,0.9972,0.2781,0.0889,0.2866,0.4565
111,0.6625,0.9973,0.2780,0.0889,0.2865,0.4562
112,0.6625,0.9973,0.2780,0.0889,0.2865,0.4562
113,0.6625,0.9973,0.2780,0.0889,0.2864,0.4562
114,0.6625,0.9973,0.2779,0.0889,0.2864,0.4561
115,0.6625,0.9973,0.2779,0.0889,0.2864,0.4562
116,0.6625,0.9972,0.2780,0.0889,0.2864,0.4562
117,0.6625,0.9972,0.2780,0.0889,0.2864,0.4562
118,0.6625,0.9972,0.2780,0.0889,0.2864,0.4562
119,0.6625,0.9972,0.2780,0.0889,0.2864,0.4563
120,0.6625,0.9972,0.2780,0.0889,0.2865,0.4563
121,0.6625,0.9971,0.2780,0.0889,0.2865,0.4563
122,0.6625,0.9972,0.2780,0.0889,0.2864,0.4563
123,0.6625,0.9972,0.2780,0.0889,0.2864,0.4563
124,0.6625,0.9971,0.2780,0.0889,0.2863,0.4562
125,0.6625,0.9972,0.2780,0.0889,0.2863,0.4563
126,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
127,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
128,0.6624,0.9971,0.2780,0.0889,0.2863,0.4562
129,0.6624,0.9972,0.2780,0.0889,0.2863,0.4563
130,0.6624,0.9972,0.2780,0.0889,0.2863,0.4563
131,0.6624,0.9972,0.2780,0.0889,0.2863,0.4563
132,0.6624,0.9972,0.2780,0.0889,0.2863,0.4563
133,0.6624,0.9972,0.2780,0.0889,0.2863,0.4563
134,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
135,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
136,0.6624,0.9972,0.2780,0.0889,0.2863,0.4563
137,0.6624,0.9972,0.2780,0.0889,0.2863,0.4563
138,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
139,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
140,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
141,0.6624,0.9972,0.2779,0.0889,0.2863,0.4562
142,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
143,0.6624,0.9972,0.2779,0.0889,0.2863,0.4562
144,0.6624,0.9972,0.2779,0.0889,0.2862,0.4562
145,0.6624,0.9972,0.2780,0.0889,0.2862,0.4562
146,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
147,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
148,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
149,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
150,0.6624,0.9972,0.2780,0.0888,0.2863,0.4562
151,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
152,0.6624,0.9972,0.2780,0.0888,0.2863,0.4562
153,0.6623,0.9972,0.2780,0.0889,0.2863,0.4562
154,0.6624,0.9972,0.2780,0.0888,0.2863,0.4562
155,0.6623,0.9972,0.2780,0.0889,0.2863,0.4562
156,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
157,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
